airline,flight_number,route_code,callsign,route_leg,dpt_airport,arr_airport,alt_airport,days,dpt_time,arr_time,level,distance,flight_time,flight_type,load_factor,load_factor_variance,pilot_pay,route,notes,start_date,end_date,active,subfleets,fares,fields,event_id,user_id
CRN,8080,PRTP,,1,TJSJ,TJVQ,,1234567,13:00,13:09,,38,9,J,,,450,,<p>Island Hop Turbo Props</p>,,,0,AN2;AN24;AN26;AT45;AT46;AT75;AT76;BN2P;C172;C208;C402;DH8D;DHC6;GA8;KODI;PC12;SH33;SH36;TBM9;TRIS,,,,
CRN,8081,PRTP,,2,TJVQ,TIST,,1234567,19:30,19:36,,28,6,J,,,450,,<p>Island Hop Turbo Props</p>,,,0,AN2;AN24;AN26;AT45;AT46;AT75;AT76;BN2P;C172;C208;C402;DH8D;DHC6;GA8;KODI;PC12;SH33;SH36;TBM9;TRIS,,,,
CRN,8082,PRTP,,3,TIST,TJCP,,1234567,20:15,20:19,,18,4,J,,,450,,<p>Island Hop Turbo Props</p>,,,0,AN2;AN24;AN26;AT45;AT46;AT75;AT76;BN2P;C172;C208;C402;DH8D;DHC6;GA8;KODI;PC12;SH33;SH36;TBM9;TRIS,,,,
CRN,8083,PRTP,,4,TJCP,TUPA,,1234567,19:00,19:14,,60,14,J,,,450,,<p>Island Hop Turbo Props</p>,,,0,AN2;AN24;AN26;AT45;AT46;AT75;AT76;BN2P;C172;C208;C402;DH8D;DHC6;GA8;KODI;PC12;SH33;SH36;TBM9;TRIS,,,,
CRN,8084,PRTP,,5,TUPA,TUPJ,,1234567,08:00,08:04,,20,4,J,,,450,,<p>Island Hop Turbo Props</p>,,,0,AN2;AN24;AN26;AT45;AT46;AT75;AT76;BN2P;C172;C208;C402;DH8D;DHC6;GA8;KODI;PC12;SH33;SH36;TBM9;TRIS,,,,
CRN,8085,PRTP,,6,TUPJ,TUPW,,1234567,18:30,18:31,,6,1,J,,,450,,<p>Island Hop Turbo Props</p>,,,0,AN2;AN24;AN26;AT45;AT46;AT75;AT76;BN2P;C172;C208;C402;DH8D;DHC6;GA8;KODI;PC12;SH33;SH36;TBM9;TRIS,,,,
CRN,8086,PRTP,,7,TUPW,TISX,,1234567,12:30,12:41,,49,11,J,,,450,,<p>Island Hop Turbo Props</p>,,,0,AN2;AN24;AN26;AT45;AT46;AT75;AT76;BN2P;C172;C208;C402;DH8D;DHC6;GA8;KODI;PC12;SH33;SH36;TBM9;TRIS,,,,
CRN,8087,PRTP,,8,TISX,TJMZ,,1234567,10:15,10:48,,138,33,J,,,450,,<p>Island Hop Turbo Props</p>,,,0,AN2;AN24;AN26;AT45;AT46;AT75;AT76;BN2P;C172;C208;C402;DH8D;DHC6;GA8;KODI;PC12;SH33;SH36;TBM9;TRIS,,,,
CRN,8088,PRTP,,9,TJMZ,MDLR,,1234567,07:00,07:24,,101,24,J,,,450,,<p>Island Hop Turbo Props</p>,,,0,AN2;AN24;AN26;AT45;AT46;AT75;AT76;BN2P;C172;C208;C402;DH8D;DHC6;GA8;KODI;PC12;SH33;SH36;TBM9;TRIS,,,,
CRN,8089,PRTP,,10,MDLR,TJRV,,1234567,12:30,13:14,,186,44,J,,,450,,<p>Island Hop Turbo Props</p>,,,0,AN2;AN24;AN26;AT45;AT46;AT75;AT76;BN2P;C172;C208;C402;DH8D;DHC6;GA8;KODI;PC12;SH33;SH36;TBM9;TRIS,,,,
