airline,flight_number,route_code,callsign,route_leg,dpt_airport,arr_airport,alt_airport,days,dpt_time,arr_time,level,distance,flight_time,flight_type,load_factor,load_factor_variance,pilot_pay,route,notes,start_date,end_date,active,subfleets,fares,fields,event_id,user_id
CRN,1000,SJU,,,TJSJ,TJVQ,,1234567,18:15,18:24,,38,9,J,,,,,,,,1,A20N;A21N;A306;A310;A319;A320;A321;A332;A333;A339;A346;A359;A388;AN2;AN24;AN26;AT45;AT46;AT75;AT76;B38M;B712;B722;B732;B733;B734;B735;B736;B737;B738;B739;B744;B752;B753;B762;B763;B764;B77L;B77W;B788;B789;B78X;BBJ2;BCS1;BCS3;BN2P;C130;C172;C208;C25C;C402;C408;C750;DH8D;DHC6;E110;E140;E145;E175;E190;E195;EC35;EC45;GA8;H60;IL18;IL96;KODI;L410;MD11;MD82;MD83;MD88;MD90;MI8;P212;PC12;R722;RJ1H;RJ70;RJ85;SH33;SH36;SU95;TBM9;TRIS;YK40,,,,
CRN,1001,SJU,,,TJVQ,TJSJ,,1234567,21:45,21:54,,38,9,J,,,,,,,,1,A20N;A21N;A306;A310;A319;A320;A321;A332;A333;A339;A346;A359;A388;AN2;AN24;AN26;AT45;AT46;AT75;AT76;B38M;B712;B722;B732;B733;B734;B735;B736;B737;B738;B739;B744;B752;B753;B762;B763;B764;B77L;B77W;B788;B789;B78X;BBJ2;BCS1;BCS3;BN2P;C130;C172;C208;C25C;C402;C408;C750;DH8D;DHC6;E110;E140;E145;E175;E190;E195;EC35;EC45;GA8;H60;IL18;IL96;KODI;L410;MD11;MD82;MD83;MD88;MD90;MI8;P212;PC12;R722;RJ1H;RJ70;RJ85;SH33;SH36;SU95;TBM9;TRIS;YK40,,,,
CRN,1002,SJU,CRF,,TJSJ,TJVQ,,1234567,14:00,14:09,,38,9,F,,,,,,,,1,A124;A225;A30F;A332F;A333F;AN24F;AN26F;AT76F;B48F;B722F;B733F;B738F;B74F;B75F;B76F;B77F;C208F;C408F;E190F;IL18F;MD1F;R722F;RJ1HF;SH33F;SH36F,,,,
CRN,1003,SJU,CRF,,TJVQ,TJSJ,,1234567,18:30,18:39,,38,9,F,,,,,,,,1,A124;A225;A30F;A332F;A333F;AN24F;AN26F;AT76F;B48F;B722F;B733F;B738F;B74F;B75F;B76F;B77F;C208F;C408F;E190F;IL18F;MD1F;R722F;RJ1HF;SH33F;SH36F,,,,
CRN,1004,SJU,,,TJSJ,TIST,,1234567,15:30,15:43,,58,13,J,,,,,,,,1,A20N;A21N;A306;A310;A319;A320;A321;A332;A333;A339;A346;A359;A388;AN2;AN24;AN26;AT45;AT46;AT75;AT76;B38M;B712;B722;B732;B733;B734;B735;B736;B737;B738;B739;B744;B752;B753;B762;B763;B764;B77L;B77W;B788;B789;B78X;BBJ2;BCS1;BCS3;BN2P;C130;C172;C208;C25C;C402;C408;C750;DH8D;DHC6;E110;E140;E145;E175;E190;E195;EC35;EC45;GA8;H60;IL18;IL96;KODI;L410;MD11;MD82;MD83;MD88;MD90;MI8;P212;PC12;R722;RJ1H;RJ70;RJ85;SH33;SH36;SU95;TBM9;TRIS;YK40,,,,
CRN,1005,SJU,,,TIST,TJSJ,,1234567,20:15,20:28,,58,13,J,,,,,,,,1,A20N;A21N;A306;A310;A319;A320;A321;A332;A333;A339;A346;A359;A388;AN2;AN24;AN26;AT45;AT46;AT75;AT76;B38M;B712;B722;B732;B733;B734;B735;B736;B737;B738;B739;B744;B752;B753;B762;B763;B764;B77L;B77W;B788;B789;B78X;BBJ2;BCS1;BCS3;BN2P;C130;C172;C208;C25C;C402;C408;C750;DH8D;DHC6;E110;E140;E145;E175;E190;E195;EC35;EC45;GA8;H60;IL18;IL96;KODI;L410;MD11;MD82;MD83;MD88;MD90;MI8;P212;PC12;R722;RJ1H;RJ70;RJ85;SH33;SH36;SU95;TBM9;TRIS;YK40,,,,
CRN,1006,SJU,CRF,,TJSJ,TIST,,1234567,12:30,12:43,,58,13,F,,,,,,,,1,A124;A225;A30F;A332F;A333F;AN24F;AN26F;AT76F;B48F;B722F;B733F;B738F;B74F;B75F;B76F;B77F;C208F;C408F;E190F;IL18F;MD1F;R722F;RJ1HF;SH33F;SH36F,,,,
CRN,1007,SJU,CRF,,TIST,TJSJ,,1234567,07:15,07:28,,58,13,F,,,,,,,,1,A124;A225;A30F;A332F;A333F;AN24F;AN26F;AT76F;B48F;B722F;B733F;B738F;B74F;B75F;B76F;B77F;C208F;C408F;E190F;IL18F;MD1F;R722F;RJ1HF;SH33F;SH36F,,,,
CRN,1008,SJU,,,TJSJ,TISX,,1234567,06:00,06:19,,81,19,J,,,,,,,,1,A20N;A21N;A306;A310;A319;A320;A321;A332;A333;A339;A346;A359;A388;AN2;AN24;AN26;AT45;AT46;AT75;AT76;B38M;B712;B722;B732;B733;B734;B735;B736;B737;B738;B739;B744;B752;B753;B762;B763;B764;B77L;B77W;B788;B789;B78X;BBJ2;BCS1;BCS3;BN2P;C130;C172;C208;C25C;C402;C408;C750;DH8D;DHC6;E110;E140;E145;E175;E190;E195;EC35;EC45;GA8;H60;IL18;IL96;KODI;L410;MD11;MD82;MD83;MD88;MD90;MI8;P212;PC12;R722;RJ1H;RJ70;RJ85;SH33;SH36;SU95;TBM9;TRIS;YK40,,,,
CRN,1009,SJU,,,TISX,TJSJ,,1234567,21:45,22:04,,81,19,J,,,,,,,,1,A20N;A21N;A306;A310;A319;A320;A321;A332;A333;A339;A346;A359;A388;AN2;AN24;AN26;AT45;AT46;AT75;AT76;B38M;B712;B722;B732;B733;B734;B735;B736;B737;B738;B739;B744;B752;B753;B762;B763;B764;B77L;B77W;B788;B789;B78X;BBJ2;BCS1;BCS3;BN2P;C130;C172;C208;C25C;C402;C408;C750;DH8D;DHC6;E110;E140;E145;E175;E190;E195;EC35;EC45;GA8;H60;IL18;IL96;KODI;L410;MD11;MD82;MD83;MD88;MD90;MI8;P212;PC12;R722;RJ1H;RJ70;RJ85;SH33;SH36;SU95;TBM9;TRIS;YK40,,,,
